time_s,iso_time,setpoint,rpm,control_pct
11.866668,2025-10-24T15:32:58.771347,0.000000,-0.000000,5.882353
11.874973,2025-10-24T15:32:58.779652,0.000000,-0.000000,5.882353
11.883060,2025-10-24T15:32:58.787739,0.000000,-0.000000,5.882353
11.890582,2025-10-24T15:32:58.795260,0.000000,-0.000000,5.882353
11.898299,2025-10-24T15:32:58.802977,0.000000,-0.000000,5.882353
11.905587,2025-10-24T15:32:58.810266,0.000000,-0.000000,5.882353
11.912223,2025-10-24T15:32:58.816902,0.000000,-0.000000,5.882353
11.919497,2025-10-24T15:32:58.824176,0.000000,-0.000000,5.882353
11.926599,2025-10-24T15:32:58.831278,0.000000,-0.000000,5.882353
11.932051,2025-10-24T15:32:58.836730,0.000000,-0.000000,5.882353
11.938275,2025-10-24T15:32:58.842954,0.000000,-0.000000,5.882353
11.944898,2025-10-24T15:32:58.849576,0.000000,-0.000000,5.882353
11.951454,2025-10-24T15:32:58.856133,0.000000,-0.000000,5.882353
11.958418,2025-10-24T15:32:58.863096,0.000000,-0.000000,5.882353
11.964249,2025-10-24T15:32:58.868928,0.000000,-0.000000,5.882353
11.970029,2025-10-24T15:32:58.874708,0.000000,-0.000000,5.882353
11.975247,2025-10-24T15:32:58.879926,0.000000,-0.000000,5.882353
11.980279,2025-10-24T15:32:58.884958,0.000000,-0.000000,5.882353
11.987576,2025-10-24T15:32:58.892255,0.000000,-0.000000,5.882353
11.996424,2025-10-24T15:32:58.901103,0.000000,-0.000000,5.882353
12.002800,2025-10-24T15:32:58.907478,0.000000,-0.000000,5.882353
12.008090,2025-10-24T15:32:58.912769,0.000000,-0.000000,5.882353
12.013025,2025-10-24T15:32:58.917704,0.000000,-0.000000,5.882353
12.018380,2025-10-24T15:32:58.923059,0.000000,-0.000000,5.882353
12.159707,2025-10-24T15:32:59.064386,0.000000,-0.000000,5.882353
12.165433,2025-10-24T15:32:59.070112,0.000000,-0.000000,5.882353
12.171269,2025-10-24T15:32:59.075948,0.000000,-0.000000,5.882353
12.176841,2025-10-24T15:32:59.081520,0.000000,-0.000000,5.882353
12.181520,2025-10-24T15:32:59.086199,0.000000,-0.000000,5.882353
12.186738,2025-10-24T15:32:59.091417,0.000000,-0.000000,5.882353
12.192169,2025-10-24T15:32:59.096848,0.000000,-0.000000,5.882353
12.197979,2025-10-24T15:32:59.102658,0.000000,-0.000000,5.882353
12.203826,2025-10-24T15:32:59.108505,0.000000,-0.000000,5.882353
12.209761,2025-10-24T15:32:59.114439,0.000000,-0.000000,5.882353
12.215371,2025-10-24T15:32:59.120049,0.000000,-0.000000,5.882353
12.221593,2025-10-24T15:32:59.126272,0.000000,-0.000000,5.882353
12.226442,2025-10-24T15:32:59.131121,0.000000,-0.000000,5.882353
12.231041,2025-10-24T15:32:59.135720,0.000000,-0.000000,5.882353
12.236118,2025-10-24T15:32:59.140797,0.000000,-0.000000,5.882353
12.241660,2025-10-24T15:32:59.146339,0.000000,-0.000000,5.882353
12.248086,2025-10-24T15:32:59.152765,0.000000,-0.000000,5.882353
12.253781,2025-10-24T15:32:59.158459,0.000000,-0.000000,5.882353
12.260957,2025-10-24T15:32:59.165636,0.000000,-0.000000,5.882353
12.267337,2025-10-24T15:32:59.172016,0.000000,-0.000000,5.882353
12.272307,2025-10-24T15:32:59.176986,0.000000,-0.000000,5.882353
12.277092,2025-10-24T15:32:59.181771,0.000000,-0.000000,5.882353
12.281661,2025-10-24T15:32:59.186340,0.000000,-0.000000,5.882353
12.287248,2025-10-24T15:32:59.191927,0.000000,-0.000000,5.882353
12.291981,2025-10-24T15:32:59.196660,0.000000,-0.000000,5.882353
12.296582,2025-10-24T15:32:59.201260,0.000000,-0.000000,5.882353
12.301947,2025-10-24T15:32:59.206625,0.000000,-0.000000,5.882353
12.308249,2025-10-24T15:32:59.212928,0.000000,-0.000000,5.882353
12.313983,2025-10-24T15:32:59.218662,0.000000,-0.000000,5.882353
12.320178,2025-10-24T15:32:59.224857,0.000000,-0.000000,5.882353
12.325958,2025-10-24T15:32:59.230637,0.000000,-0.000000,5.882353
12.473921,2025-10-24T15:32:59.378600,0.000000,-0.000000,5.882353
12.478553,2025-10-24T15:32:59.383231,0.000000,-0.000000,5.882353
12.483237,2025-10-24T15:32:59.387916,0.000000,-0.000000,5.882353
12.488668,2025-10-24T15:32:59.393347,0.000000,-0.000000,5.882353
12.493577,2025-10-24T15:32:59.398256,0.000000,-0.000000,5.882353
12.498318,2025-10-24T15:32:59.402997,0.000000,-0.000000,5.882353
12.504269,2025-10-24T15:32:59.408948,0.000000,-0.000000,5.882353
